SName,SdName,
青木英,TROYCA,
武內崇,TYPE-MOON,
虛淵玄,Nitro+,
梶浦由記,NULL,Victor Entertainment(?
佐藤卓哉,NULL,
濱崎博嗣,龍之子Production,
花田十輝,NULL,
阿保剛,MAGES.,
村上純,MAGES.,
廣江禮威,NULL,
澤野弘之,VV-ALKLINE,
長月達平,NULL,
渡邊政治,NULL,
橫谷昌宏,NULL,
末廣健一郎,NULL,
鎌池和馬,NULL,
錦織博,NULL,
